season,match_id,match_name,venue,fullName,runs,ballsFaced,fours,sixes,strikeRate
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Mohammad Rizwan,15,14,0,1,107.14
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Babar Azam,32,28,2,0,114.28
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Mohammad Haris,8,12,1,0,66.66
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Shan Masood,38,28,2,1,135.71
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Iftikhar Ahmed,0,6,0,0,0
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Shadab Khan,20,14,2,0,142.85
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Mohammad Nawaz,5,7,0,0,71.42
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Mohammad Wasim,4,8,0,0,50
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Shaheen Shah Afridi,5,3,1,0,166.66
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Haris Rauf,1,1,0,0,100
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Jos Buttler,26,17,3,1,152.94
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Alex Hales,1,2,0,0,50
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Phil Salt,10,9,2,0,111.11
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Ben Stokes,52,49,5,1,106.12
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Harry Brook,20,23,1,0,86.95
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Moeen Ali,19,12,3,0,158.33
2022,1298179,ENG v PAK,Melbourne Cricket Ground,Liam Livingstone,1,2,0,0,50
2022,1298178,ENG v INDIA,Adelaide Oval,KL Rahul,5,5,1,0,100
2022,1298178,ENG v INDIA,Adelaide Oval,Rohit Sharma,27,28,4,0,96.42
2022,1298178,ENG v INDIA,Adelaide Oval,Virat Kohli,50,40,4,1,125
2022,1298178,ENG v INDIA,Adelaide Oval,Suryakumar Yadav,14,10,1,1,140
2022,1298178,ENG v INDIA,Adelaide Oval,Hardik Pandya,63,33,4,5,190.9
2022,1298178,ENG v INDIA,Adelaide Oval,Rishabh Pant,6,4,1,0,150
2022,1298178,ENG v INDIA,Adelaide Oval,Jos Buttler,80,49,9,3,163.26
2022,1298178,ENG v INDIA,Adelaide Oval,Alex Hales,86,47,4,7,182.97
2022,1298177,NZ v PAK,Sydney Cricket Ground,Finn Allen,4,3,1,0,133.33
2022,1298177,NZ v PAK,Sydney Cricket Ground,Devon Conway,21,20,3,0,105
2022,1298177,NZ v PAK,Sydney Cricket Ground,Kane Williamson,46,42,1,1,109.52
2022,1298177,NZ v PAK,Sydney Cricket Ground,Glenn Phillips,6,8,1,0,75
2022,1298177,NZ v PAK,Sydney Cricket Ground,Daryl Mitchell,53,35,3,1,151.42
2022,1298177,NZ v PAK,Sydney Cricket Ground,James Neesham,16,12,1,0,133.33
2022,1298177,NZ v PAK,Sydney Cricket Ground,Mohammad Rizwan,57,43,5,0,132.55
2022,1298177,NZ v PAK,Sydney Cricket Ground,Babar Azam,53,42,7,0,126.19
2022,1298177,NZ v PAK,Sydney Cricket Ground,Mohammad Haris,30,26,2,1,115.38
2022,1298177,NZ v PAK,Sydney Cricket Ground,Shan Masood,3,4,0,0,75
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,KL Rahul,51,35,3,3,145.71
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Rohit Sharma,15,13,2,0,115.38
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Virat Kohli,26,25,2,0,104
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Suryakumar Yadav,61,25,6,4,244
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Rishabh Pant,3,5,0,0,60
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Hardik Pandya,18,18,2,0,100
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Wessly Madhevere,0,1,0,0,0
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Craig Ervine,13,15,2,0,86.66
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Regis Chakabva,0,6,0,0,0
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Sean Williams,11,18,0,1,61.11
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Sikandar Raza,34,24,3,0,141.66
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Tony Munyonga,5,4,1,0,125
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Ryan Burl,35,22,5,1,159.09
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Wellington Masakadza,1,7,0,0,14.28
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Richard Ngarava,1,2,0,0,50
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Tendai Chatara,4,4,1,0,100
2022,1298176,INDIA v ZIM,Melbourne Cricket Ground,Blessing Muzarabani,0,2,0,0,0
2022,1298175,BAN v PAK,Adelaide Oval,Najmul Hossain Shanto,54,48,7,0,112.5
2022,1298175,BAN v PAK,Adelaide Oval,Litton Das,10,8,0,1,125
2022,1298175,BAN v PAK,Adelaide Oval,Soumya Sarkar,20,17,1,1,117.64
2022,1298175,BAN v PAK,Adelaide Oval,Shakib Al Hasan,0,1,0,0,0
2022,1298175,BAN v PAK,Adelaide Oval,Afif Hossain,24,20,3,0,120
2022,1298175,BAN v PAK,Adelaide Oval,Mosaddek Hossain,5,11,0,0,45.45
2022,1298175,BAN v PAK,Adelaide Oval,Nurul Hasan,0,3,0,0,0
2022,1298175,BAN v PAK,Adelaide Oval,Taskin Ahmed,1,5,0,0,20
2022,1298175,BAN v PAK,Adelaide Oval,Nasum Ahmed,7,6,1,0,116.66
2022,1298175,BAN v PAK,Adelaide Oval,Mustafizur Rahman,0,1,0,0,0
2022,1298175,BAN v PAK,Adelaide Oval,Mohammad Rizwan,32,32,2,1,100
2022,1298175,BAN v PAK,Adelaide Oval,Babar Azam,25,33,2,0,75.75
2022,1298175,BAN v PAK,Adelaide Oval,Mohammad Nawaz,4,11,0,0,36.36
2022,1298175,BAN v PAK,Adelaide Oval,Mohammad Haris,31,18,1,2,172.22
2022,1298175,BAN v PAK,Adelaide Oval,Shan Masood,24,14,2,0,171.42
2022,1298175,BAN v PAK,Adelaide Oval,Iftikhar Ahmed,1,3,0,0,33.33
2022,1298174,NED v SA,Adelaide Oval,Stephan Myburgh,37,30,7,0,123.33
2022,1298174,NED v SA,Adelaide Oval,Max O'Dowd,29,31,1,1,93.54
2022,1298174,NED v SA,Adelaide Oval,Tom Cooper,35,19,2,2,184.21
2022,1298174,NED v SA,Adelaide Oval,Colin Ackermann,41,26,3,2,157.69
2022,1298174,NED v SA,Adelaide Oval,Bas de Leede,1,7,0,0,14.28
2022,1298174,NED v SA,Adelaide Oval,Scott Edwards,12,7,2,0,171.42
2022,1298174,NED v SA,Adelaide Oval,Quinton de Kock,13,13,1,1,100
2022,1298174,NED v SA,Adelaide Oval,Temba Bavuma,20,20,2,0,100
2022,1298174,NED v SA,Adelaide Oval,Rilee Rossouw,25,19,2,0,131.57
2022,1298174,NED v SA,Adelaide Oval,Aiden Markram,17,13,2,0,130.76
2022,1298174,NED v SA,Adelaide Oval,David Miller,17,17,1,0,100
2022,1298174,NED v SA,Adelaide Oval,Heinrich Klaasen,21,18,0,1,116.66
2022,1298174,NED v SA,Adelaide Oval,Wayne Parnell,0,2,0,0,0
2022,1298174,NED v SA,Adelaide Oval,Keshav Maharaj,13,12,0,1,108.33
2022,1298174,NED v SA,Adelaide Oval,Kagiso Rabada,9,8,0,0,112.5
2022,1298174,NED v SA,Adelaide Oval,Anrich Nortje,4,1,1,0,400
2022,1298173,ENG v SL,Sydney Cricket Ground,Pathum Nissanka,67,45,2,5,148.88
