venue,season,match_id,match_name,fullName,overs,maidens,conceded,wickets,economyRate,wides,noballs
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Ben Stokes,4,0,32,1,8,2,1
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Chris Woakes,3,0,26,0,8.66,2,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Sam Curran,4,0,12,3,3,0,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Adil Rashid,4,1,22,2,5.5,1,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Chris Jordan,4,0,27,2,6.75,0,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Liam Livingstone,1,0,16,0,16,1,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Shaheen Shah Afridi,2.1,0,13,1,6,0,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Naseem Shah,4,0,30,0,7.5,1,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Haris Rauf,4,0,23,2,5.75,1,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Shadab Khan,4,0,20,1,5,0,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Mohammad Wasim,4,0,38,1,9.5,2,0
Melbourne Cricket Ground,2022,1298179,ENG v PAK,Iftikhar Ahmed,0.5,0,13,0,15.6,0,0
Adelaide Oval,2022,1298178,ENG v INDIA,Ben Stokes,2,0,18,0,9,0,0
Adelaide Oval,2022,1298178,ENG v INDIA,Chris Woakes,3,0,24,1,8,2,0
Adelaide Oval,2022,1298178,ENG v INDIA,Sam Curran,4,0,42,0,10.5,0,0
Adelaide Oval,2022,1298178,ENG v INDIA,Adil Rashid,4,0,20,1,5,0,0
Adelaide Oval,2022,1298178,ENG v INDIA,Liam Livingstone,3,0,21,0,7,0,0
Adelaide Oval,2022,1298178,ENG v INDIA,Chris Jordan,4,0,43,3,10.75,1,0
Adelaide Oval,2022,1298178,ENG v INDIA,Bhuvneshwar Kumar,2,0,25,0,12.5,1,0
Adelaide Oval,2022,1298178,ENG v INDIA,Arshdeep Singh,2,0,15,0,7.5,1,0
Adelaide Oval,2022,1298178,ENG v INDIA,Axar Patel,4,0,30,0,7.5,0,0
Adelaide Oval,2022,1298178,ENG v INDIA,Mohammed Shami,3,0,39,0,13,0,0
Adelaide Oval,2022,1298178,ENG v INDIA,Ravichandran Ashwin,2,0,27,0,13.5,1,0
Adelaide Oval,2022,1298178,ENG v INDIA,Hardik Pandya,3,0,34,0,11.33,0,0
Sydney Cricket Ground,2022,1298177,NZ v PAK,Shaheen Shah Afridi,4,0,24,2,6,0,0
Sydney Cricket Ground,2022,1298177,NZ v PAK,Naseem Shah,4,0,30,0,7.5,0,0
Sydney Cricket Ground,2022,1298177,NZ v PAK,Haris Rauf,4,0,32,0,8,0,0
Sydney Cricket Ground,2022,1298177,NZ v PAK,Mohammad Wasim,2,0,15,0,7.5,0,0
